,Document/Program/Project Title,Document/Project Date,Action,Document Lead Authors/Project Contact,FP&M Department,Academic/Research/UW Divisions 1,Academic/Research/UW Divisions 2,Academic/Research/UW Divisions 3,Student Organization 1,Student Organization 2,Student Organization 3,Number of Student Participants/yr/class,Total Students Participants,Document Name (if applicable),Document Type,Partnership Type,
,FWE 599: Wildlife Research Capstone,2009,,"Bryn Scriver (FPM)\, Berkleman\, Jim/FWE ",FP&M Campus Planning and Landscape Architecture,Forest and Wildlife Ecology,Lakeshore Nature Preserve,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Permibus Educational Program,2009,,"Bryn Scriver (FPM)\, Sandberg\, Mark/FH King",FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,,,FH King,,,10,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Meadow Vole Study,2010,Study found higher relative abundance of Mictrotus pennsylvanicus than expected on biocore Prairie edge; Abundance of Peromyscus maniculatus expected to vary little throughout Preserve,"Bryn Scriver (FPM)\, Batzli\,Janet/Bretzman\, Kara/Biocore",FP&M Campus Planning and Landscape Architecture,Biocore,Lakeshore Nature Preserve,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Biocore 301/302: Monitoring Willow Creek ,2010,,"Bryn Scriver (FPM)\, Batzli\,Janet; McGee\, Seth/Biocore",FP&M Campus Planning and Landscape Architecture,Biocore,Lakeshore Nature Preserve,,,,,150,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,WI 4-H & Youth Conference/Seminar on invasive plants,2010,,"Bryn Scriver (FPM)\, Nordin\, Peter/ WI 4-H UW Extension",FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,,,,,,30,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,F,
,Geography 339: Environmental Conservation/Woody invasive plant control,2010,,"Bryn Scriver (FPM)\, Geography",FP&M Campus Planning and Landscape Architecture,Geography,Lakeshore Nature Preserve,,,,,3,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,IES 126: Principles of Environmental Science/Planting native plugs at Willow Creek Woods,2010,,"Bryn Scriver (FPM)\, Nelson Institute",FP&M Campus Planning and Landscape Architecture,"Environmental Studies\, Nelson Institute for",Lakeshore Nature Preserve,,,,,27,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,FWE 599: Wildlife Research Capstone/Measuring restoration effects on small mammal populations in southern WI grasslands (pilot study),2010,,"Bryn Scriver (FPM)\, Berkleman\, Jim/Wiciak\, Stephan; Kreuser\, Jodi/FWE ",FP&M Campus Planning and Landscape Architecture,Forest and Wildlife Ecology,Lakeshore Nature Preserve,,,,,2,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Land Navigation Exercise,2010,,"Bryn Scriver (FPM)\, Diamon\, Benjamin/Navy ROTC",FP&M Campus Planning and Landscape Architecture,Naval Science (Naval ROTC),Lakeshore Nature Preserve,,,,,20,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Geog 565: The relationships between soil health and educational resources in the community gardens of Madison WI,2010,,"Bryn Scriver (FPM)\, Gartner\, William/Geography",FP&M Campus Planning and Landscape Architecture,Geography,Lakeshore Nature Preserve,,,,,3,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Relative abundance of native tree saplings in the presence of common buckthorn,2010,,"Bryn Scriver (FPM)\, Givnish\, Tom/Cook\, Gina/Botany",FP&M Campus Planning and Landscape Architecture,Botany,Lakeshore Nature Preserve,,,,,3,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Determining the host range of  Lysiphlebus testaceipes (Hymenoptera: Braconidae)  and the preference of L. testaceipes for selected aphid hosts,2010,,"Bryn Scriver (FPM)\, Hogg\, David/Dehnel\, Allison/Entomology",FP&M Campus Planning and Landscape Architecture,Entomology,Lakeshore Nature Preserve,,,,,4,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FR,
,Labs for University of Wisconsin Madison ROTC,2010,,"Bryn Scriver (FPM)\, Houser\, Kevin/Army ROTC",FP&M Campus Planning and Landscape Architecture,Military Science (Army ROTC),Lakeshore Nature Preserve,,,,,60,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,FFA Environmental Science Career Development Event,2010,,"Bryn Scriver (FPM)\, Kohn\, Craig/WI Future Farmers of America/CALS",FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,,,Future Farmers of America,,,50,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FS,
,Geocache: Explore the Preserve,2010,,"Bryn Scriver (FPM)\, Soley\, Karen",FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,F,
,Geocache: Tent Colony Woods,2010,,"Bryn Scriver (FPM)\, Soley\, Karen",FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,F,
,Geocache: Walk in the woods,2010,,"Bryn Scriver (FPM)\, Soley\, Karen",FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,F,
,Remote Sensing of Forest Ecosystem Function,2010,,"Bryn Scriver (FPM)\, Townsend\, Phil/FWE ",FP&M Campus Planning and Landscape Architecture,Forest and Wildlife Ecology,Lakeshore Nature Preserve,,,,,4,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,LA 262: Site Inventory and EvalationMethods/Tour of Preserve Restorations,Spring 2010,,"Bryn Scriver (FPM)\, Howell\, Evelyn/ Landscape Architecture",FP&M Campus Planning and Landscape Architecture,Landscape Architecture,Lakeshore Nature Preserve,,,,,40,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,IES 600: Capstone/Picnic Point Savanna,2011,,"Bryn Scriver (FPM)\, Allen\, Peter/Nelson Institute",FP&M Campus Planning and Landscape Architecture,"Environmental Studies\, Nelson Institute for",Lakeshore Nature Preserve,,,,,11,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Prothonatary Warbler Boxes,2011,,"Bryn Scriver (FPM)\, Barker\, William ",FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,,,,,,1,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FR,
,Morphological Comparisons Between Spring Ephemeral and Early Summer Guilds in Southern Wisconsin,2011,,"Bryn Scriver (FPM)\, Cameron\, Ken/Lathers\, Lizzi; Gjertson\, Dan/Botany",FP&M Campus Planning and Landscape Architecture,Botany,Lakeshore Nature Preserve,,,,,2,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Comparative intestinal function in small mammals,2011,,"Bryn Scriver (FPM)\, Karasov\, William/Price\, Edwin/FWE ",FP&M Campus Planning and Landscape Architecture,Forest and Wildlife Ecology,Lakeshore Nature Preserve,,,,,3,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Geog 127: Physical Systems of the Environment Laboratory,2011,,"Bryn Scriver (FPM)\, Mason\, Joseph; Spigel\, Kevin/Geography",FP&M Campus Planning and Landscape Architecture,Geography,Lakeshore Nature Preserve,,,,,100,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,FWE 375: Early spring habitat use by birds in the Lakeshore Preserve,2011,,"Bryn Scriver (FPM)\, Pidgeon\, Anna/FWE ",FP&M Campus Planning and Landscape Architecture,Forest and Wildlife Ecology,Lakeshore Nature Preserve,,,,,20,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,4-H: Invasive earthworms and their relationship with the presence of Invasive plant species ,2011,,"Bryn Scriver (FPM)\, Williams\, Bernadette/WI DNR",FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FS,
,Botany 240: class visit to Muir Knoll/sun versus shade,2011,,"Bryn Scriver (FPM)\, Zedler\, Joy/Botany/Arboretum",FP&M Campus Planning and Landscape Architecture,Botany,Lakeshore Nature Preserve,,,,,164,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,WI 4-H & Youth Conference/Seminar on invasive plants,2011,,"Bryn Scriver (FPM)\, Nordin\, Peter/ WI 4-H UW Extension",FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,,,,,,36,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FS,
,FWE 599 Wildlife Research Capstone: Changes in mesopredator abundance and composition as housing density and forest density change due to urbanization,2011,,"Bryn Scriver (FPM)\, Berkleman\, Jim/Buisker\, Andrea/FWE ",FP&M Campus Planning and Landscape Architecture,Forest and Wildlife Ecology,Lakeshore Nature Preserve,,,,,3,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Soils 325: Pedology Class Instruction ,2011,,"Bryn Scriver (FPM)\, Bockheim\, Jim/Soil Science",FP&M Campus Planning and Landscape Architecture,Soil Science,Lakeshore Nature Preserve,,,,,19,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Cellulose degradation,2011,,"Bryn Scriver (FPM)\, Currie\, Cameron/Lewin\, Gina/Bacteriology",FP&M Campus Planning and Landscape Architecture,Bacteriology,Lakeshore Nature Preserve,,,,,2,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Bradley Learning Community/Provide Management for Indian Burial Mounds,2011,,"Bryn Scriver (FPM)\, Housing",FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,,,,,,9,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FS,
,Senior Thesis 699: Nest site preference in great horned owls (Bubo virginianus) ,2011,,"Bryn Scriver (FPM)\, Drake\, David/Lorenzsonn\, Faye/FWE ",FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,,,,,,1,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Gypsy moth egg hatch study,2011,,"Bryn Scriver (FPM)\, Raffa\, Ken/Uehlmen\, Johnny/Entomology",FP&M Campus Planning and Landscape Architecture,Entomology,Lakeshore Nature Preserve,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FR,
,"Conservation Biology Service Learning: bird\, mammal\, and user surveys",2011,,"Bryn Scriver (FPM)\, Treves\, Adrian/Nelson Institute",FP&M Campus Planning and Landscape Architecture,"Environmental Studies\, Nelson Institute for",Lakeshore Nature Preserve,,,,,50,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FS,
,IES 375: Field Ecology Workshop/Quarter Point Re-Survey of Wally Bauman Woods,2012,,"Bryn Scriver (FPM)\, Carpenter\, Quentin/Nelson Institute ",FP&M Campus Planning and Landscape Architecture,"Environmental Studies\, Nelson Institute for",Lakeshore Nature Preserve,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Surveillance for ticks (Ixodes scapularis) in the Lakeshore Nature Preserve,2012,,"Bryn Scriver (FPM)\, Paskewitz\, Susan/Entomology ",FP&M Campus Planning and Landscape Architecture,Entomology,Lakeshore Nature Preserve,,,,,10,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FR,
,Installation of nest boxes for Prothonotary Warblers,2012,,"Bryn Scriver (FPM)\, Barker\, William ",FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,,,,,,1,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,F,
,Textile Installation for Patterns in the Environment,2012,,"Bryn Scriver (FPM)\, Bradley\, Barbara/SOHE\, Design Studies",FP&M Campus Planning and Landscape Architecture,Design Studies,Lakeshore Nature Preserve,,,,,1,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Bradley Learning Community/Provide Management for Indian Burial Mounds,2012,,"Bryn Scriver (FPM)\, Housing",FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,,,,,,5,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FS,
,InterEngineering 103: Clean up project in cogen ponds,2012,,"Bryn Scriver (FPM)\, Carlson-Dakes\, Chris/Tredatoski\, David/Engineering",FP&M Campus Planning and Landscape Architecture,"Engineering\, College of",Lakeshore Nature Preserve,,,,,5,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,InterEngineering 103: Garlic mustard pull,2012,,"Bryn Scriver (FPM)\, Carlson-Dakes\, Chris/Reiderer\, Jacob/Engineering",FP&M Campus Planning and Landscape Architecture,"Engineering\, College of",Lakeshore Nature Preserve,,,,,10,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,WI 4-H & Youth Conference/Seminar on invasive plants,2012,,"Bryn Scriver (FPM)\, Nordin\, Peter/ WI 4-H UW Extension",FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,,,,,,31,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FS,
,IES 375: Field Ecology Workshop/Quarter Point Survey of Muir Woods,2012,,"Bryn Scriver (FPM)\, Carpenter\, Quentin/Nelson Institute",FP&M Campus Planning and Landscape Architecture,"Environmental Studies\, Nelson Institute for",Lakeshore Nature Preserve,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
, Winter Monitoring for Spotted Wing Drosophila,2012,,"Bryn Scriver (FPM)\, Guedot\, Christelle/Pelton\, Emma/Agroecology/Entomology",FP&M Campus Planning and Landscape Architecture,Agroecology,Entomology,Lakeshore Nature Preserve,,,,5,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FR,
,Geocache: Rocky Road ,2012,,"Bryn Scriver (FPM)\, Heinen\, Aaron",FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,F,
,Impact of food restriction on innate immune function and metabolic rate in altricial house sparrow nestlings.,2012,,"Bryn Scriver (FPM)\, Karasov\, William/Killpatrick\, Tess/Zoology/FWE ",FP&M Campus Planning and Landscape Architecture,Zoology,Forest and Wildlife Ecology,Lakeshore Nature Preserve,,,,12,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FR,
,Anthro 352: Ancient Technology and Invention/Experimental Archaeology Lab and Outdoor Classroom ,2012,,"Bryn Scriver (FPM)\, Kenoyer\, Jonathan/Anthropology/Art",FP&M Campus Planning and Landscape Architecture,Anthropology,Lakeshore Nature Preserve,,,,,25,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Class of 1918 Marsh Studies,2012,,"Bryn Scriver (FPM)\, Magnuson\, John/Emeritus Center for Limnology",FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,Center for Limnology,,,,,6,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FR,
,FWE 599: The Effect of Local Bat Population on Mosquito Levels,2012,,"Bryn Scriver (FPM)\, Mohr\, Adam/FWE ",FP&M Campus Planning and Landscape Architecture,Forest and Wildlife Ecology,Lakeshore Nature Preserve,,,,,4,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Study of seed removal rates,2012,,"Bryn Scriver (FPM)\, Orrock\, John/Merten\, Jake/Zoology",FP&M Campus Planning and Landscape Architecture,Zoology,Lakeshore Nature Preserve,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FR,
,FWE 375: Tree Use by Foraging Songbirds in Lakeshore Nature Preserve,2012,,"Bryn Scriver (FPM)\, Pidgeon\, Anna/FWE ",FP&M Campus Planning and Landscape Architecture,Forest and Wildlife Ecology,Lakeshore Nature Preserve,,,,,10,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,"Anthro 120: (FIG) Landscapes: Biological\, Cultural\, and Physical Dimensions ",2012,,"Bryn Scriver (FPM)\, Schroeder\, Sissel/Anthropology",FP&M Campus Planning and Landscape Architecture,Anthropology,Lakeshore Nature Preserve,,,,,25,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Introduction to Soil Description,2012,,"Bryn Scriver (FPM)\, Urrutia\, Mattilde/Soil Science",FP&M Campus Planning and Landscape Architecture,Soil Science,Lakeshore Nature Preserve,,,,,75,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Soil Science 499: Senior Capstone/Rain Garden Study,2012,,"Bryn Scriver (FPM)\, Ventura\, Steve/Reuteman\, Patrick/Soil Science",FP&M Campus Planning and Landscape Architecture,Soil Science,Lakeshore Nature Preserve,,,,,1,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Soil Science 499: Senior Capstone/EH Compost Pile,2012,,"Bryn Scriver (FPM)\, Ventura\, Steve/Wepfer\, Adam; Schmidt\, Jason/Soil Science",FP&M Campus Planning and Landscape Architecture,Soil Science,Lakeshore Nature Preserve,,,,,2,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Survey of Coleoptera in Campus Natural Areas,2012,,"Bryn Scriver (FPM)\, Young\, Daniel/Thairu\, Margaret/Entomology",FP&M Campus Planning and Landscape Architecture,Entomology,Lakeshore Nature Preserve,,,,,1,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Assessing the impacts of extreme climate events and supplemental food use on winter bird populations,2012,,"Bryn Scriver (FPM)\, Zuckerberg\, Benjamin; Latimer\, Chris/FWE",FP&M Campus Planning and Landscape Architecture,Forest and Wildlife Ecology,Lakeshore Nature Preserve,,,,,6,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Spruce budworm phenology monitoring,2012,,"Bryn Scriver (FPM)\, ",FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FR,
,IES 375: Field Ecology Workshop/Quarter Point Re-Survey of Muir Woods ,2013,,"Bryn Scriver (FPM)\, Carpenter\, Quentin/Nelson Institute ",FP&M Campus Planning and Landscape Architecture,"Environmental Studies\, Nelson Institute for",Lakeshore Nature Preserve,,,,,18,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,How snow depth affects plant community composition,2013,,"Bryn Scriver (FPM)\, Damschen\, Ellen; Batzli\, Janet/Zoology/Biocore",FP&M Campus Planning and Landscape Architecture,Zoology,Biocore,Lakeshore Nature Preserve,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Molecular permeability intestinal function in small mammals,2013,,"Bryn Scriver (FPM)\, Karasov\, William/Price\, Edwin/FWE ",FP&M Campus Planning and Landscape Architecture,Forest and Wildlife Ecology,Lakeshore Nature Preserve,,,,,3,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Engage Children in Science,2013,,"Bryn Scriver (FPM)\, Ledin\, Dolly/Institute for Biology Education",FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,Institute for Biology Education,,,,,40,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FS,
,Lakeshore Nature Preserve Breeding Bird and Habitat Study ,2013,,"Bryn Scriver (FPM)\, Lenehan\, Roma; Denniston\, Glenda/Friends of the Preserve ",FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,,,,,,5,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Navy and Marine Corps Physical Training,2013,,"Bryn Scriver (FPM)\, MacDonald\, Troy/Navy ROTC",FP&M Campus Planning and Landscape Architecture,Naval Science (Naval ROTC),Lakeshore Nature Preserve,,,,,65,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,UW Naval ROTC 41st Annual Fall Invitational Urban Adventure Race,2013,,"Bryn Scriver (FPM)\, MacDonald\, Troy/Navy ROTC",FP&M Campus Planning and Landscape Architecture,Naval Science (Naval ROTC),Lakeshore Nature Preserve,,,,,80,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Labs for UW-Madison ROTC,2013,,"Bryn Scriver (FPM)\, Slater\, Scott/Army ROTC",FP&M Campus Planning and Landscape Architecture,Military Science (Army ROTC),Lakeshore Nature Preserve,,,,,70,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,"MCS 785 Project Management: Methodologies\, Techniques and Tools",2013,,"Bryn Scriver (FPM)\, Wayne Utke/UW-Whitewater Business School",FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,,,,,,9,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,WI 4-H & Youth Conference/Seminar on invasive plants,2013,,"Bryn Scriver (FPM)\, Nordin\, Peter/ WI 4-H UW Extension",FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,,,,,,20,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FS,
,Willow Creek Dissolved Oxygen and Macroinvertebrate study,2013,,"Bryn Scriver (FPM)\, Stanley\, Emily/Sanderfoot\, Olivia/Center for Limnology",FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,,,,,,1,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Senior Capstone - Soil Science and Environmental Studies,2013,,"Bryn Scriver (FPM)\, Ventura\, Steve/Soil Science/Nelson Institute",FP&M Campus Planning and Landscape Architecture,Soil Science,"Environmental Studies\, Nelson Institute for",Lakeshore Nature Preserve,,,,11,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Comparison of Earthworm Densities using Rapid Assessment vs. Mustard Extraction,2013,,"Bryn Scriver (FPM)\, Vue\, Kai/Botany",FP&M Campus Planning and Landscape Architecture,Botany,Lakeshore Nature Preserve,,,,,1,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FR,
,Grapevine collection for WID Saturday Science,2013,,"Bryn Scriver (FPM)\, Westball\, Barbara/Wisconsin Institutes for Discovery ",FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,F,
,The role of forest biomass in bird spring migration ecology,2013,,"Bryn Scriver (FPM)\, Zuckerberg\, Ben/Ross\, Eric/FWE ",FP&M Campus Planning and Landscape Architecture,Forest and Wildlife Ecology,Lakeshore Nature Preserve,,,,,2,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Survival and Habitat Use of Eastern Gray Squirrels in an Urban Environment,2013,,"Bryn Scriver (FPM)\, Pauli\, Jonathan/FWE ",FP&M Campus Planning and Landscape Architecture,Forest and Wildlife Ecology,Lakeshore Nature Preserve,,,,,43,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FR,
,Wildlife Techniques Vegetation Sampling Project,2013,,"Bryn Scriver (FPM)\, Pauli\, Jonathan/FWE ",FP&M Campus Planning and Landscape Architecture,Forest and Wildlife Ecology,Lakeshore Nature Preserve,,,,,35,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Emerald Ash Borer Awareness Ribboning Event,2014,,"Bryn Scriver (FPM)\, Andreson\, Rebecca/Community Ground Works",FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,,,,,,10,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,F,
,Physical and Historical Geology Field Research Component,2014,,"Bryn Scriver (FPM)\, Barker\, William/Geosciences",FP&M Campus Planning and Landscape Architecture,Geoscience,Lakeshore Nature Preserve,,,,,31,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,"Preliminary Installation--Re-enchanting the Forest: A Uncommon Intersection Between Fiber Art\, Trees\, and Biophilic Connections to Nature’s Space",2014,,"Bryn Scriver (FPM)\, Bradley\, Barbara/SOHE\, Design Studies",FP&M Campus Planning and Landscape Architecture,Design Studies,Lakeshore Nature Preserve,,,,,5,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,"Thesis exhibit--Re-enchanting the Forest: A Uncommon Intersection Between Fiber Art\, Trees\, and Biophilic Connections to Nature’s Space",2014,,"Bryn Scriver (FPM)\, Bradley\, Barbara/SOHE\, Design Studies",FP&M Campus Planning and Landscape Architecture,Design Studies,Lakeshore Nature Preserve,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Geocache: bubble gum,2014,,"Bryn Scriver (FPM)\, Burmeister\, Mike",FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,,,,,,,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,F,
,Does freeze-thaw soil treatment influence seedling emergence? ,2014,,"Bryn Scriver (FPM)\, Connolly\, Brian/Zoology",FP&M Campus Planning and Landscape Architecture,Zoology,Lakeshore Nature Preserve,,,,,1,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Small mammal trapping technique ,2014,,"Bryn Scriver (FPM)\, Connolly\, Brian/Zoology",FP&M Campus Planning and Landscape Architecture,Zoology,Lakeshore Nature Preserve,,,,,4,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Exploring the Symbiotic Associations between Microbes and Their Plant and Insect Hosts,2014,,"Bryn Scriver (FPM)\, Currie\, Cameron/Muller\, Laura/Bacteriology",FP&M Campus Planning and Landscape Architecture,Bacteriology,Lakeshore Nature Preserve,,,,,12,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FR,
,Coyote and red fox use of the Lakeshore Nature Preserve,2014,,"Bryn Scriver (FPM)\, Drake\, David/FWE ",FP&M Campus Planning and Landscape Architecture,Forest and Wildlife Ecology,Lakeshore Nature Preserve,,,,,20,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,IES 375: Field Ecology Workshop/Student Ecological Field Projects,2014,,"Bryn Scriver (FPM)\, Duff\, Alison/Nelson Institute",FP&M Campus Planning and Landscape Architecture,"Environmental Studies\, Nelson Institute for",Lakeshore Nature Preserve,,,,,20,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Ecology 460: Laboratory,2014,,"Bryn Scriver (FPM)\, Fry\, Tricia/Botany",FP&M Campus Planning and Landscape Architecture,Botany,Lakeshore Nature Preserve,,,,,90,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Yeast Exploratory Bird Project,2014,,"Bryn Scriver (FPM)\, Hittinger\, Chris Todd/Navarro\, Peris/Genetics",FP&M Campus Planning and Landscape Architecture,Genetics,Lakeshore Nature Preserve,,,,,10,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Little brown bat and big brown bat diet analysis from collected guano,2014,,"Bryn Scriver (FPM)\, Kaarakka\, Heather/WI DNR",FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,,,,,,4,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
,Isolation of myxobacteria from terrestrial and marine environments for drug discovery,2014,,"Bryn Scriver (FPM)\, Kwan\, Jason/Mlot\, Christine/Pharmacy",FP&M Campus Planning and Landscape Architecture,Pharmacy,Lakeshore Nature Preserve,,,,,2,,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
