,Document/Program/Project Title,Document/Project Date,Action,Document Lead Authors/Project Contact,FP&M Department,Academic/Research/UW Divisions 1,Academic/Research/UW Divisions 2,Academic/Research/UW Divisions 3,Student Organization 1,Student Organization 2,Student Organization 3,Number of Student Participants/yr/class,Total Students Participants,Document Name (if applicable),Document Type,Partnership Type,
,LaBASH (landscape architecture student national conference),3/1/14,"Tours of Lakeshore Nature Preserve with CPLA staff focused on ecological restoration\, land management of cultural landscape sites.",Daniel Einstein,FP&M Campus Planning and Landscape Architecture,Lakeshore Nature Preserve,,,,,,,,CPLA Academic Coordination Report.xlsx,Spreadsheet,FS,
,1918 Marsh Audio Tour,3/1/13,Worked with group of students/volunteers/faculty on creation of interpretive text detailing natural and cultural history of marsh.,"Daniel Einstein\, John Magnuson\, (emeritus faculty)",FP&M Campus Planning and Landscape Architecture,Zoology,Center for Limnology,,,,,,,CPLA Academic Coordination Report.xlsx,Spreadsheet,FA,
,John Muir /Earth Day,4/1/13,Campus walking tour of John Muir sites on campus.,Daniel Einstein,FP&M Campus Planning and Landscape Architecture,,,,,,,,,CPLA Academic Coordination Report.xlsx,Spreadsheet,F,
,University of the Air-interview,9/1/13,Radio interview on “John Muir in Wisconsin.”,"Daniel Einstein\, Norman Gilliland(WHA Radio) and Emily Auerbach (English\, faculty)",FP&M Campus Planning and Landscape Architecture,,,,,,,,,CPLA Academic Coordination Report.xlsx,Spreadsheet,F,
,University Place,10/1/13,Television interview: “John Muir: The Wisconsin Years”,"Daniel Einstein\, Norman Gilliland (Wisconsin Public Television)",FP&M Campus Planning and Landscape Architecture,,,,,,,,,CPLA Academic Coordination Report.xlsx,Spreadsheet,F,
,GreenHouse Learning Community,9/1/13,FP&M and Academic staff led two campus cultural landscape tours/discussions in Lakeshore Nature Preserve.,"Daniel Einstein\, Jack Kloppenburg (faculty)",FP&M Campus Planning and Landscape Architecture,Community and Environmental Sociology,Lakeshore Nature Preserve,,,,,,,CPLA Academic Coordination Report.xlsx,Spreadsheet,FS,
,Sustainable Forestry class,11/1/13,Video interview detailing Preserve history.,Daniel Einstein,FP&M Campus Planning and Landscape Architecture,Forest and Wildlife Ecology,Lakeshore Nature Preserve,,,,,,,CPLA Academic Coordination Report.xlsx,Spreadsheet,FA,
,Campus Tree Walks,11/1/13,Interview on campus trees.,"Daniel Einstein\, Cathy Middlecamp",FP&M Campus Planning and Landscape Architecture,"Environmental Studies\, Nelson Institute for",,,,,,,,CPLA Academic Coordination Report.xlsx,Spreadsheet,FA,
,"Culture\, History\, Environment (CHE) Methods ",3/1/12,"FP&M and Academic staff led tour of Science Hall with emphasis on resource flows through building (water\, energy\, waste\, etc.)","Daniel Einstein\, Bill Cronon (faculty)",FP&M Campus Planning and Landscape Architecture,History,Geography,"Environmental Studies\, Nelson Institute for",,,,,,CPLA Academic Coordination Report.xlsx,Spreadsheet,FA,
,GreenHouse Learning Community,9/1/12,FP&M and Academic staff led two campus cultural landscape tours/discussions at Picnic Point.,"Daniel Einstein\, Jack Kloppenburg (faculty)",FP&M Campus Planning and Landscape Architecture,Community and Environmental Sociology,Lakeshore Nature Preserve,,,,,,,CPLA Academic Coordination Report.xlsx,Spreadsheet,FS,
,ES 460 Student interviews,11/1/12,FP&M and Academic staff served as interviewees with two students researching history of Science Hall and campus environmental issues.,"Daniel Einstein\, Bill Cronon (faculty)",FP&M Campus Planning and Landscape Architecture,History,Geography,"Environmental Studies\, Nelson Institute for",,,,,,CPLA Academic Coordination Report.xlsx,Spreadsheet,FA,
,"""Greening Bascom Mall""",Fall 2012,FP&M staff and class in Urban and Regional Planning developed an inventory of campus green infrastructure; documented existing stormwater conditions on Bascom Hill; identified areas for improvement; focus on student/faculty involvement and public awareness on stormwater BMP’s; promote healthy human/nature partnerships; heighten Madison’s sense of place through the development of green infrastructure projects on campus.,"Gary Brown (FPM)\, Prof. Jim LaGro
URPL",FP&M Campus Planning and Landscape Architecture,Urban and Regional Planning,,,,,,10,10,CPLA Academic Coordination Report 2014 bryn.xlsx,Spreadsheet,FA,
